name,category,role,tags,link
Green Delta Insurance Company,Parametric insurer,Bangladesh's largest private insurer; pioneered agricultural index insurance and weather-parametric products for smallholder farmers and aquaculture; key in-country underwriting partner for CCHB Bangladesh corridor; demonstrated that commercially viable parametric agricultural insurance is achievable in a climate-vulnerable LDC context,parametric|Bangladesh|agricultural insurance|index|LDC,https://www.greendeltains.com.bd
FSN — Fonds de Solidarité Nationale,CVA / field implementer,"Senegal's national emergency household response fund (created 2021); relies on the RNU social registry, mobile money transfers (Orange, Free, Expresso), and DGPSN social operator network; specific mechanisms: floods (FCFA 3B for 20,000 households), fires (FCFA 200M for 1,000 households), food insecurity (FCFA 3.3B for 27,537 households); diagnosed gaps: under-funded relative to need, transfers too slow, coverage focused on drought/food insecurity — leaving urban flooding and coastal erosion unaddressed; direct CCHB complementarity for rapid parametric payout filling FSN response gaps",social protection|Senegal|mobile money|emergency|households,https://devcommunautaire.gouv.sn/programme/fonds-de-solidarite-nationale
PAPSA — Projet d'Appui à la Protection Sociale Adaptative,CVA / field implementer,"World Bank / Government of Senegal adaptive social protection project; most systemic intervention in the portfolio — targets 130,000 beneficiaries with economic inclusion programmes and 51,000 households affected by climate shocks; simultaneously strengthens RNU (target 1M households by 2025), mobile payment systems, and grievance mechanisms; 2022 flood response demonstrated operational effectiveness in real conditions; directly validates the CCHB assumption that existing social protection infrastructure can serve as parametric payout distribution rails in Senegal",adaptive social protection|Senegal|World Bank|RNU|climate shock,https://www.papsa.sn
ARC Replica,Precedent instrument,"Sub-sovereign window of African Risk Capacity allowing CSOs and NGOs to subscribe mirror parametric policies covering populations unreachable by the sovereign mechanism; Start Network is ARC Replica Partner since 2018 — first non-governmental policyholder in ARC history — purchasing drought policies in Senegal, Somalia and Zimbabwe; 2019 Senegal trigger: six Start Network member agencies (Action Against Hunger, CRS, Oxfam, Plan International, Save the Children, World Vision) distributed enriched flour and cash to 335,000+ people across seven regions; Oxfam 2023 Senegal payout reached 31,942 beneficiaries (54% women); most complete documented end-to-end parametric humanitarian payout chain yet deployed — canonical operational reference for CCHB's dual-rail sovereign/humanitarian architecture",ARC|Senegal|CSO|Start Network|Oxfam,
FAGI — Fondation pour l'Adaptation de la Genève Internationale,Donor / funder,"Foundation co-created in 2025 by the State of Geneva and the Hans Wilsdorf Foundation (Rolex); dedicated to climate adaptation through the leverage of Geneva's international organisations, expertise and finance networks; sits at the intersection of Geneva's humanitarian and financial ecosystem — natural convener and co-financier for CCHB given its Geneva IHL/IHO institutional roots and the Hans Wilsdorf Foundation's philanthropic capital",Geneva|adaptation|foundation|climate finance|philanthropy,https://fagi.ch
SME Finance Forum — Virtual Marketplace,Think tank / coordinator,"IFC-managed global network of 300+ member financial institutions across 190+ countries; established 2012 by the G20; monthly Virtual Marketplace pitch events connect insurtechs and fintechs to banks, MFIs, and DFIs — 150+ companies presented, 2,500+ participants since 2021; dedicated insurtech-for-smallholder-farmers edition directly showcased PULA, ACRE Africa, One Acre Fund and analogous players; key discovery and partnership channel for CCHB to reach FSP distribution partners and impact investors at scale",IFC|G20|SME|insurtech|smallholder|MFI,https://www.smefinanceforum.org
FONGIT,Donor / funder,"Fondation Genevoise pour l'Innovation Technologique; Switzerland's largest tech incubator (est. 1991); state-backed non-profit supporting 250+ deep-tech startups in ICT, advanced engineering and life sciences; provides coaching, office space, governance and financing guidance; embedded in Geneva's innovation ecosystem alongside humanitarian and international finance institutions — natural bridge between parametric insurtech startups and the Geneva IHL/IHO cluster",Geneva|incubator|tech|innovation|foundation,https://www.fongit.ch/
Cardano Foundation,Blockchain / DeFi insurance,"Swiss-based not-for-profit (Zug) that standardises, protects and promotes the Cardano blockchain protocol; focuses on payments, digital identity, real-world asset tokenisation and DeFi adoption; stewards open permissionless public infrastructure used for smart-contract-based parametric triggers, on-chain settlement and decentralised insurance primitives",blockchain|Cardano|smart contract|DeFi|digital identity|tokenisation,https://cardanofoundation.org/
Reimagining Fundraising,Think tank / coordinator,"INGO open-innovation collaborative (est. 2020) that crowdsources fundraising solutions for leading international nonprofits; issues open calls to external innovators, evaluates submissions and supports pilots — relevant as a channel to surface and scale novel parametric / blended-finance fundraising instruments across the humanitarian sector",INGO|innovation|fundraising|open call|humanitarian,https://reimaginingfundraising.org/
HIF Hub — Danish Red Cross,Broker / structuring agent,"Danish Red Cross initiative that helps humanitarian practitioners structure projects to attract investment and financing; provides guidance, tools and partnerships to develop investible humanitarian instruments and build organisational capacity for innovative finance — direct bridge between field implementers and blended/impact finance actors",Danish Red Cross|humanitarian finance|blended finance|capacity building|investible projects,https://hifhub.org/
TRC–IFRC Islamic Development Bank WASH Programme,Precedent instrument,First Red Cross National Society in Africa (Togolese Red Cross) to serve as implementing partner in a sovereign loan-financed WASH programme; Islamic Development Bank sovereign lending channelled through the government unlocked substantial sustainable WASH investment; demonstrates how National Societies can access development finance via IFRC partnership — replicable model for government-led development finance in CCHB target corridors,Togolese Red Cross|IFRC|Islamic Development Bank|sovereign loan|WASH,https://hifhub.org/projects/togolese-red-cross-ifrc-a-model-for-national-society-resource-diversification/
Malawi Red Cross Parametric Flood Insurance,Precedent instrument,"Parametric flood insurance product developed by Malawi Red Cross, Danish Red Cross, ARC and JBA Risk Management with InsuResilience Solutions Fund support; customised flood model uses rainfall and impact-based forecasts to trigger layered funding — early action, emergency response, and recovery; integrates community-level hazard mapping and mobile technology for rapid coordination; demonstrates an end-to-end parametric humanitarian payout architecture directly analogous to CCHB",Malawi Red Cross|Danish Red Cross|ARC|parametric|flood insurance,https://hifhub.org/projects/pioneering-flood-insurance-in-malawi-building-resilience-before-the-storm/
ICRC Goma West Water Blended Finance,Precedent instrument,"ICRC committed CHF 8M as initial grant capital to leverage USD 42M from the World Bank for sustainable water infrastructure in eastern DRC — a 9× multiplier replacing decades of emergency water trucking; now serves 2.5M people with a pipeline expansion projected to reach 11M across Goma, Bukavu and Bunia; model being replicated in Uganda, Ghana and South Sudan — canonical humanitarian blended finance precedent for CCHB first-loss / DFI layering architecture",ICRC|World Bank|blended finance|DRC|water infrastructure,https://hifhub.org/
IFRC-DREF Risk Transfer Insurance,Precedent instrument,"Insurance mechanism layered on top of IFRC's Disaster Relief Emergency Fund (est. 1979); donors contribute insurance premiums to transfer peak-year risk to private reinsurance markets when natural hazard disaster funding requests exceed available DREF resources; partners: IFRC, Aon, Centre for Disaster Protection; operationally validates the donor-pays-premium / risk-transfer model central to CCHB — proof that parametric risk transfer can sustain a major humanitarian fund against climate-driven demand spikes",IFRC|DREF|Aon|risk transfer|reinsurance,https://hifhub.org/projects/the-ifrc-dref-insurance-making-the-case-for-risk-transfer/
Systematic Observations Financing Facility (SOFF),Donor / funder,"WMO-hosted UN facility (est. 2022) that finances the expansion and modernisation of weather, climate and hydrological observation networks in LDCs and SIDS — the upstream data infrastructure on which parametric triggers depend; provides grants and technical assistance to strengthen NMHSs so they can generate the station-level data required for index-based parametric products; closing the observation gap in CCHB target corridors is a prerequisite for robust trigger design and index verification",WMO|observation networks|NMHS|LDC|SIDS|trigger data,https://soff.wmo.int/
IADB (Inter-American Development Bank),Impact finance / blended,"Multilateral development bank for Latin America and the Caribbean; finances climate resilience, disaster risk finance and social protection programmes across CCHB-relevant Caribbean and Central American corridors; houses the DRFIP (Disaster Risk Finance and Insurance Program) and has co-structured parametric sovereign risk transfer transactions for Caribbean and Central American governments — natural DFI partner for CCHB first-loss tranches and premium subsidy structures in the LAC region",IADB|DFI|LAC|blended finance|disaster risk finance|parametric,https://www.iadb.org/
Stellar Development Foundation,Blockchain / DeFi insurance,"Non-profit that develops and maintains the Stellar blockchain network — an open, low-cost, high-throughput Layer-1 optimised for payments and asset tokenisation; powers the Stellar Aid Assist programme deployed with UNHCR for cash-based assistance in Ukraine and Afghanistan; Stellar's USDC on-chain settlement and wallet infrastructure is directly analogous to the CCHB token rail — fast, compliant digital cash delivery to displaced and vulnerable populations",Stellar|blockchain|payments|USDC|stablecoin|CBDCs,https://stellar.org/
UNHCR (UN Refugee Agency),UN — humanitarian operations,UN Refugee Agency providing protection and assistance to 117M+ forcibly displaced people globally; partnered with Stellar Development Foundation on Aid Assist — on-chain USDC cash transfers to refugees in Ukraine and Afghanistan; manages large-scale cash-based intervention programmes; key field implementer and distribution partner for CCHB-type trigger-to-wallet payout chains in displacement contexts,UNHCR|refugees|cash assistance|displacement|humanitarian|CVA,https://www.unhcr.org/
UNHCR Innovation Fund,Donor / funder,"UNHCR's dedicated fund for testing and scaling innovative solutions in refugee contexts; provides seed grants and support for pilots across digital identity, fintech, blockchain and unconventional financing models; has funded blockchain-based cash assistance, digital ID and staking experiments — direct funder of proof-of-concept work directly analogous to CCHB's token rail and trigger-to-wallet architecture",UNHCR|innovation|seed grant|blockchain|digital identity|fintech,https://www.unhcr.org/innovation/
UNHCR — Cardano Staking for Refugees,Precedent instrument,UNHCR Switzerland and Cardano Foundation partnership enabling ADA holders to delegate staking rewards directly to UNHCR — first use of proof-of-stake blockchain mechanics for humanitarian fundraising at scale; demonstrates that public blockchain infrastructure (Cardano) can channel value to a major humanitarian organisation with full legal and compliance sign-off; establishes the Cardano-UNHCR relationship that underpins CCHB's Cardano-rail credibility and opens the path for on-chain parametric payout pilots,UNHCR|Cardano|staking|blockchain|humanitarian fundraising|ADA,https://unrefugees.ch/en/blockchain-refugees
The Giving Block,Blockchain / DeFi insurance,"Leading crypto fundraising platform for nonprofits and charities; processes Bitcoin and multi-cryptocurrency donations for 2,000+ vetted organisations including UN agencies and major INGOs; provides the donor-side infrastructure for crypto-native philanthropy — the missing link between crypto wealth and humanitarian funding flows; relevant to CCHB as the mechanism through which ILS/DeFi investors and crypto donors can direct capital toward premium subsidies and proof-of-concept grants",crypto fundraising|Bitcoin|nonprofit|donation|philanthropy,https://thegivingblock.com/
Bitcoin Humanitarian Alliance,Think tank / coordinator,"Coalition of Bitcoin-focused organisations and humanitarian actors working to apply Bitcoin and Lightning Network infrastructure to humanitarian response — cash-based assistance, remittance corridors, and inflation-resistant savings for displaced populations; convenes practitioners exploring non-custodial, censorship-resistant payment rails in conflict and fragile-state contexts relevant to CCHB last-mile delivery",Bitcoin|Lightning Network|humanitarian|censorship-resistant|cash transfer,https://bitcoinhumanalliance.org/
Mercy Corps Ventures,Impact finance / blended,Investment and innovation arm of Mercy Corps that backs and tests fintech and blockchain solutions for frontier markets; runs pilots combining parametric insurance triggers with on-chain smart contracts and stablecoin payment rails; published evidence from Kenya and Syria pilots showing 60–96% cost and time reductions vs. traditional humanitarian payment channels — the most rigorous field evidence base for CCHB's dual-rail value proposition,Mercy Corps|fintech|blockchain|parametric|stablecoin|frontier markets,https://www.centerforadigitalfuture.org/mercycorpsventures
Mercy Corps Ventures — Kenya Parametric Pasture Pilot,Precedent instrument,Mercy Corps Ventures Kenya pilot used a smart contract holding donated funds in escrow programmed to disburse only if satellite-verified pasture conditions were distressful; reached 262 pastoralists at 2.5% end-to-end transaction cost vs. 10–35% via traditional methods — a 75% cost reduction; satellite trigger → smart-contract escrow → direct payout chain is structurally identical to the CCHB parametric-oracle → token-rail → wallet architecture,Mercy Corps|parametric|smart contract|escrow|satellite|Kenya|pastoralists,https://www.centerforadigitalfuture.org/mercycorpsventures
Mercy Corps Ventures — Syria HesabPay Stablecoin Pilot,Precedent instrument,Mercy Corps Ventures Syria pilot using stablecoin payment rails (HesabPay) achieved a 96% drop in payment time (from 28 days to under 1 day) and 60% cost reduction; 72% of participants preferred stablecoin payments over cash for future programming; demonstrates that stablecoin rails are accepted and preferred by conflict-affected populations — direct validation of the CCHB token rail's viability for humanitarian cash transfer in fragile contexts,Mercy Corps|stablecoin|HesabPay|Syria|cash transfer|cost reduction,https://www.centerforadigitalfuture.org/mercycorpsventures
Encointer — Tanzania & Nigeria Community Currency,Precedent instrument,Encointer Foundation deployed local community currencies on a Substrate-based blockchain in Tanzania and Nigeria — regular proof-of-personhood ceremonies establish digital identity and distribute a basic income token to verified participants; demonstrates that permissionless blockchain infrastructure can deliver recurring digital cash to unbanked rural populations without bank accounts or smartphones — a precedent for CCHB's KYC-lite token-rail payout to beneficiaries in Sub-Saharan Africa,Encointer|community currency|UBI|proof-of-personhood|Tanzania|Nigeria|digital identity,https://encointer.org/
Global Shield against Climate Risks,Donor / funder,G7 and V20 initiative launched at COP27 (2022) to close the protection gap for climate-vulnerable countries; mobilises grants and concessional finance for pre-arranged disaster risk finance instruments including parametric insurance and anticipatory action mechanisms; primary vehicle for scaling sovereign and sub-sovereign parametric coverage in LDCs and SIDS — directly relevant as a premium co-funder and blended capital mobiliser for CCHB pilot corridors,Global Shield|G7|V20|climate risk|parametric|disaster risk finance|LDC,https://www.globalshield.org/
Europa Re,Cat bond / reinsurance,"Southeast European regional reinsurance company; provides catastrophe reinsurance capacity and parametric risk transfer solutions for natural disasters (earthquake, flood) across the Balkans, Caucasus and Central Asia; develops national and regional disaster risk finance frameworks and sovereign parametric programmes in emerging markets underserved by global reinsurers — relevant CCHB reinsurance capacity partner for Eastern European and Central Asian corridors",reinsurance|Southeast Europe|catastrophe|parametric|sovereign,https://www.europa-re.com/
Stellar Aid Assist — Ukraine & Afghanistan,Precedent instrument,UNHCR and Stellar Development Foundation deployed blockchain-based cash assistance to Ukrainian refugees (Poland) and Afghan beneficiaries: USDC distributed directly to smartphone wallets on the Stellar network; recipients convert to local currency via MoneyGram cash-out; no bank account required; transaction costs under $0.01; 2022–2024 pilots reached thousands of households — the most direct deployed precedent for the CCHB token rail (trigger → on-chain stablecoin → wallet → cash-out agent),UNHCR|Stellar|USDC|blockchain|cash transfer|Ukraine|Afghanistan,https://stellar.org/case-studies/unhcr
Save the Waves — Surf Ecosystem Insurance,Precedent instrument,"World's first parametric insurance product protecting surf ecosystems and coastal economies from climate-driven extreme weather; piloted in El Salvador (Oriente Salvaje World Surfing Reserve) with support from ORRAA and the Government of Canada; predetermined payouts triggered by exceedance of environmental thresholds (wind speed, precipitation) release rapid funding for ecosystem recovery and community income loss — demonstrates parametric trigger design for non-sovereign natural capital and nature-based economy protection, replicable across Save the Waves' 100+ World Surfing Reserves network targeting 1,000 ecosystems by 2030",parametric|surf|coastal|nature-based|El Salvador|ORRAA|ecosystem insurance,https://www.savethewaves.org/surf-ecosystem-insurance/
ORRAA (Ocean Risk and Resilience Action Alliance),Think tank / coordinator,"Multi-sector convener connecting finance, insurance, governments, multilateral organisations, civil society and local partners to pioneer ocean risk finance and insurance products; mission to activate USD 500M of investment by 2030 to build resilience of 250M climate-vulnerable coastal people in the Global South; develops blue finance instruments including parametric products for coral reefs, mangroves, and surf ecosystems — co-structured the Save the Waves El Salvador surf insurance pilot; relevant convener for CCHB coastal and SIDS corridor design",ocean risk|blue finance|coastal resilience|parametric|SIDS|nature-based insurance,https://oceanriskalliance.org/
Environment and Climate Change Canada (ECCC),Donor / funder,Canadian federal department responsible for climate change policy and international climate finance; co-funded the ORRAA/Save the Waves parametric surf ecosystem insurance pilot in El Salvador; supports the Caribbean Catastrophe Risk Insurance Facility (CCRIF) and broader disaster risk finance instruments in vulnerable countries; channels Canada's USD 5.3B climate finance commitment through bilateral and multilateral mechanisms — relevant premium co-funder and bilateral donor for CCHB pilots in Caribbean and Pacific SIDS corridors,Canada|bilateral|climate finance|CCRIF|Pacific|SIDS|disaster risk finance,https://www.canada.ca/en/environment-climate-change.html
MIT Solve,Donor / funder,"MIT's open innovation marketplace that connects social entrepreneurs with funding, resources and a global community; runs annual Challenges including a Climate & Environment track and a Financial Inclusion track — both directly relevant to CCHB; Solve awards equity-free funding and provides acceleration support; has surfaced and funded early-stage parametric and DeFi insurance ventures; relevant as a discovery channel and proof-of-concept grant source for CCHB startups and insurtech partners",MIT|open innovation|challenge|grant|climate|financial inclusion,https://solve.mit.edu/
GSMA,Donor / funder,"Mobile industry association representing 750+ operators in 220+ countries; funds the GSMA Mobile for Humanitarian Innovation (M4H) programme with grants and technical assistance for mobile-based humanitarian cash transfer pilots; sets interoperability standards for mobile money and runs the Mobile Money API programme — underpins the last-mile MNO rails central to CCHB payout architecture; relevant as a standards-setter, grant channel and MNO convener",GSMA|mobile money|MNO|interoperability|humanitarian|grant,https://www.gsma.com/
ICMIF (International Cooperative and Mutual Insurance Federation),Think tank / coordinator,Global federation of 200+ cooperative and mutual insurance organisations in 60+ countries; advocates for inclusive insurance and mutual risk-pooling models; runs the Microinsurance Network partnership and supports member development of parametric and index-based products for smallholder and low-income markets — natural CCHB convener for accessing mutual insurer capacity and community-owned risk-pooling structures in target corridors,cooperative|mutual|insurance|microinsurance|inclusive|federation,https://www.icmif.org/
Microinsurance Network,Think tank / coordinator,"Multi-stakeholder platform of 300+ members (insurers, donors, development agencies, governments) dedicated to expanding access to insurance for low-income populations; produces market intelligence, facilitates knowledge exchange, and co-develops standards for inclusive insurance; has published key reference work on parametric microinsurance design and basis risk — primary knowledge and convening hub for the microinsurance layer of the CCHB architecture",microinsurance|inclusive insurance|standards|knowledge|network,https://microinsurancenetwork.org/
IBISA–Ensuro–One Acre Fund Kenya Parametric Pilot,Precedent instrument,"Blockchain-based parametric crop insurance deployed in Kenya: IBISA designed the satellite-based trigger index (NDVI); Ensuro provided the on-chain capital pool and smart-contract payout engine; One Acre Fund distributed the product to smallholder farmers and handled last-mile enrolment; when the satellite index crossed the drought threshold the smart contract automatically disbursed USDC to policyholders — no claims adjuster required; first live deployment combining parametric trigger data, DeFi capital provision and humanitarian last-mile distribution in a single stack directly analogous to CCHB",IBISA|Ensuro|One Acre Fund|Kenya|parametric|blockchain|smart contract|crop insurance,https://blog.ensuro.co/parametric-protection-ensuro-one-acre-fund-and-ibisa-support-kenyan-farmers-9025cdebff9b
